iter	Passed	Remaining
0	139	138971
1	141	70576
2	144	48099
3	149	37213
4	151	30138
5	153	25423
6	155	22096
7	157	19580
8	161	17755
9	163	16196
10	165	14869
11	167	13761
12	168	12805
13	170	11981
14	173	11396
15	175	10817
16	178	10301
17	180	9825
18	182	9413
19	184	9054
20	186	8677
21	187	8349
22	189	8047
23	190	7765
24	192	7492
25	193	7241
26	194	7005
27	195	6788
28	196	6585
29	197	6396
30	198	6219
31	200	6052
32	201	5895
33	202	5766
34	204	5633
35	205	5500
36	206	5368
37	207	5243
38	207	5124
39	208	5011
40	209	4904
41	210	4798
42	211	4698
43	211	4601
44	212	4509
45	213	4421
46	213	4337
47	214	4259
48	215	4185
49	216	4122
50	217	4055
51	218	3988
52	219	3921
53	220	3856
54	220	3794
55	221	3734
56	222	3675
57	222	3620
58	223	3567
59	224	3514
60	225	3463
61	225	3414
62	226	3367
63	227	3321
64	227	3277
65	228	3234
66	229	3192
67	230	3157
68	231	3124
69	232	3089
70	233	3052
71	233	3015
72	234	2979
73	235	2944
74	235	2910
75	236	2877
76	237	2845
77	238	2814
78	238	2783
79	239	2753
80	240	2724
81	240	2696
82	241	2664
83	241	2638
84	242	2611
85	243	2586
86	244	2560
87	246	2553
88	247	2533
89	248	2509
90	248	2485
91	249	2462
92	250	2440
93	250	2418
94	251	2396
95	252	2376
96	253	2355
97	253	2335
98	254	2315
99	255	2295
100	255	2276
101	256	2257
102	257	2238
103	257	2220
104	258	2203
105	259	2188
106	260	2174
107	261	2160
108	262	2146
109	263	2131
110	264	2115
111	265	2101
112	266	2088
113	267	2075
114	267	2060
115	268	2045
116	268	2029
117	269	2014
118	270	2000
119	270	1986
120	271	1972
121	272	1958
122	272	1945
123	273	1932
124	274	1921
125	275	1913
126	276	1903
127	277	1892
128	278	1880
129	279	1868
130	280	1857
131	280	1846
132	281	1834
133	282	1823
134	282	1812
135	283	1801
136	284	1790
137	285	1780
138	285	1769
139	286	1759
140	287	1750
141	287	1738
142	288	1728
143	289	1721
144	290	1715
145	291	1706
146	292	1696
147	293	1687
148	293	1677
149	294	1669
150	295	1660
151	295	1651
152	296	1642
153	297	1633
154	297	1624
155	298	1615
156	299	1606
157	299	1598
158	300	1590
159	301	1582
160	301	1573
161	302	1565
162	303	1557
163	304	1551
164	305	1547
165	306	1540
166	307	1532
167	307	1524
168	308	1517
169	309	1509
170	309	1502
171	310	1495
172	311	1488
173	311	1481
174	312	1473
175	313	1466
176	313	1459
177	314	1453
178	316	1452
179	317	1446
180	318	1441
181	319	1437
182	320	1432
183	321	1426
184	322	1420
185	323	1414
186	323	1408
187	324	1401
188	325	1395
189	326	1390
190	326	1384
191	327	1378
192	328	1372
193	328	1366
194	329	1360
195	330	1354
196	330	1349
197	331	1343
198	332	1337
